0,NumberStocks,2022-9-1,2022-9-2,2022-9-5,2022-9-6,2022-9-7,2022-9-8,2022-9-9,2022-9-12,2022-9-13,2022-9-14,2022-9-15,2022-9-16
TRNO.NYSE,46,2803.47,2763.22,2763.22,2754.25,2808.668,2848.09,2923.2999999999997,2932.73,2848.32,2770.81,2711.47,2711.47
MPLX.NYSE,86,2781.756,2796.29,2796.29,2771.608,2797.7519999999995,2812.802,2847.718,2849.1800000000003,2822.348,2848.234,2843.332,2843.332
ALT.NAS,128,2778.24,2884.48,2884.48,2694.4,2594.304,2466.56,2539.52,2633.344,2611.84,1875.84,1831.04,1831.04
ONEM.NAS,161,2789.325,2798.341,2798.341,2748.753,2759.862,2757.608,2744.406,2757.125,2747.787,2761.472,2745.372,2745.372
MRTX.NAS,34,2780.5879999999997,2759.27,2759.27,2639.25,2726.1200000000003,2869.43,2884.22,2941.34,2828.29,2783.24,2803.3,2803.3
BLUE.NAS,427,2790.445,2910.0049999999997,2910.0049999999997,2728.103,2930.928,3024.868,3044.5099999999998,3108.56,2842.9660000000003,2999.248,3017.182,3017.182
RGS.NYSE,2037,2788.653,2762.1719999999996,2762.1719999999996,2625.6929999999998,2719.395,2701.0620000000004,2786.616,2770.3199999999997,2572.7309999999998,2529.954,2383.29,2383.29
GOSS.NAS,192,2792.64,2736.96,2736.96,2624.64,2789.1839999999997,2841.6000000000004,2711.04,2692.224,2644.032,2781.12,2659.008,2659.008
STEM.NYSE,194,2781.766,2739.862,2739.862,2740.832,3035.324,3140.86,3179.6600000000003,3209.924,3177.914,3369.1980000000003,3295.672,3295.672
PGEN.NAS,1220,2788.92,2920.6800000000003,2920.6800000000003,2770.62,2826.7400000000002,3003.6400000000003,3394.04,3402.5800000000004,3324.5,3362.32,3311.08,3311.08
COMM.NAS,233,2792.5049999999997,2959.1,2959.1,2744.274,2864.502,2946.285,2920.189,2907.84,2755.691,2830.484,2748.934,2748.934
TUP.NYSE,244,2782.576,2673.02,2673.02,1799.5,2139.636,2169.1600000000003,2393.884,2506.368,2347.2799999999997,2265.0519999999997,2162.572,2162.572
OCUL.NAS,530,2790.45,2801.05,2801.05,2859.35,3116.9300000000003,3181.59,3150.32,3441.29,3214.4500000000003,3293.95,3287.59,3287.59
VHC.NYSE,1454,2788.7720000000004,2768.4159999999997,2768.4159999999997,2641.918,2718.98,2250.792,2000.704,1936.728,1864.028,1861.1200000000001,1836.4019999999998,1836.4019999999998
OSH.NYSE,108,2792.34,2781.54,2781.54,2663.28,2834.46,3038.2560000000003,3069.9,3029.508,2962.332,3028.86,3119.364,3119.364
AGEN.NAS,1023,2787.675,2649.5699999999997,2649.5699999999997,2474.637,2589.213,2677.191,2747.778,2765.169,2537.04,2486.913,2568.753,2568.753
ENPH.NAS,10,2799.75,2789.4,2789.4,2928.1,3167.3500000000004,3154.5,3062.3500000000004,3083.35,3053.25,3201.65,3120.94,3120.94
RFP.NYSE,138,2790.498,2785.944,2785.944,2794.086,2796.156,2807.334,2810.094,2815.062,2803.194,2809.266,2808.3,2808.3
BCRX.NAS,199,2788.189,2806.2980000000002,2806.2980000000002,2709.186,2737.444,2730.479,2682.52,2730.678,2616.054,2670.779,2556.155,2556.155
BBIO.NAS,275,2791.525,2771.175,2771.175,2698.2999999999997,2923.25,3099.25,3270.5750000000003,3414.1249999999995,3070.9249999999997,3180.375,3253.25,3253.25
VKTX.NAS,868,2788.016,2774.996,2774.996,2690.8,2751.56,2771.524,2728.992,2800.168,2812.32,2786.2799999999997,2862.664,2862.664
BBBY.NAS,321,2785.9590000000003,2781.4649999999997,2781.4649999999997,2251.173,2514.393,2620.323,2867.172,2921.1,2688.054,2760.6,2800.404,2800.404
MXL.NYSE,38,2820.9680000000003,2820.9680000000003,2820.9680000000003,2820.9680000000003,2820.9680000000003,2820.9680000000003,2820.9680000000003,2820.9680000000003,2820.9680000000003,2820.9680000000003,2820.9680000000003,2820.9680000000003
CHRS.NAS,254,2787.396,2589.53,2589.53,2555.2400000000002,2733.04,2675.89,2692.6539999999995,2667.0,2462.53,2571.75,2679.7000000000003,2679.7000000000003
CSIQ.NAS,62,2772.9500000000003,2752.4900000000002,2752.4900000000002,2766.44,2925.16,2702.5800000000004,2663.52,2564.94,2611.13,2627.002,2496.306,2496.306
SWIR.NAS,91,2792.244,2800.889,2800.889,2797.886,2803.1639999999998,2795.52,2804.62,2804.802,2802.8,2802.6180000000004,2797.2490000000003,2797.2490000000003
ETSY.NAS,26,2751.58,2751.84,2751.84,2697.24,2797.6,2815.54,2875.08,2967.38,2782.26,2887.56,2908.88,2908.88
MRNS.NAS,432,2785.968,2817.072,2817.072,2715.12,2750.976,2846.88,2872.8,2920.3199999999997,2913.84,2906.0640000000003,2866.752,2866.752
CYTK.NAS,52,2803.3199999999997,2814.76,2814.76,2557.1,2651.48,2810.6,2850.38,2830.62,2794.74,2813.2000000000003,2819.96,2819.96
DKS.NYSE,26,2824.51,2813.46,2813.46,2757.69,2900.9500000000003,2941.9,3032.38,3056.4300000000003,2953.47,2974.66,2974.27,2974.27
