Tickers,Inveest Category,Stock Name,ISIN
TRNO.NYSE,Residential & Commercial REIT,Terreno Realty Corp,US88146M1018
MPLX.NYSE,Oil & Gas Midstream,MPLX LP Common Units Representing Limited Partner Interests,US55336V1008
ALT.NAS,Biotechnology,Altimmune Inc,US02155H2004
ONEM.NAS,,,
MRTX.NAS,Biotechnology & Medical Research,Mirati Therapeutics Inc. Common Stock,US60468T1051
BLUE.NAS,,,
RGS.NYSE,Personal & Household Products & Services,Regis Corp,US7589321071
GOSS.NAS,Biotechnology & Medical Research,Gossamer Bio Inc,US38341P1021
STEM.NYSE,,,
PGEN.NAS,Pharmaceuticals,Pregicen Inc,US74017N1054
COMM.NAS,Oil & Gas Midstream,CommScope Holding Co Inc,US20337X1090
TUP.NYSE,Household Goods,Tupperware Brands Corp,US8998961044
OCUL.NAS,Pharmaceuticals,Ocular Therapeutix Inc,US67576A1007
VHC.NYSE,Software & IT Services,VirnetX Holding Corp,US92823T1088
OSH.NYSE,Healthcare Providers & Services,Oak Street Health Inc. Common Stock,US67181A1079
AGEN.NAS,Biotechnology & Medical Research,Agenus Inc,US00847G7051
ENPH.NAS,Renewable Energy,Enphase Energy,US29355A1079
RFP.NYSE,Paper & Forest Products,Resolute Forest Products,US76117W1099
BCRX.NAS,Biotechnology & Medical Research,BioCryst Pharmaceuticals Inc,US09058V1035
BBIO.NAS,,,
VKTX.NAS,Biotechnology & Medical Research,"Viking Therapeutics, Inc.",US92686J1060
BBBY.NAS,,,
MXL.NYSE,Semiconductors & Semiconductor Equipment,MaxLinear Inc,US57776J1007
CHRS.NAS,Biotechnology & Medical Research,Coherus Biosciences Inc,US19249H1032
CSIQ.NAS,,,
SWIR.NAS,,,
ETSY.NAS,Diversified Retail,Etsy,US29786A1060
MRNS.NAS,Pharmaceuticals,Marinus Pharmaceuticals Inc.,US56854Q2003
CYTK.NAS,Biotechnology & Medical Research,Cytokinetics Inc,US23282W6057
DKS.NYSE,Specialty Retailers,Dick's Sporting Goods Inc,US2533931026
